"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"359",18,37,28,10,18,20,18,19,18,19,8,15,18,9,19
"360",18,36,23,11,17,19,19,19,18,18,11,13,18,9,18
"361",19,34,22,11,18,18,18,19,19,18,11,19,19,14,19
"362",19,36,27,12,19,20,19,18,18,18,10,17,19,10,19
"363",18,39,25,11,18,19,19,19,19,18,9,15,18,10,19
"364",19,36,26,11,19,18,19,18,19,18,10,10,18,11,18
"365",18,37,23,11,19,21,18,19,18,19,11,14,19,9,18
"366",18,34,23,12,18,23,19,18,17,18,12,18,18,6,19
"367",18,42,24,11,18,21,18,18,19,18,9,16,18,14,18
"368",19,36,24,10,19,20,19,18,18,18,10,21,18,13,19
"369",18,38,24,11,18,22,18,18,18,18,8,14,18,11,18
"370",19,36,26,11,19,21,18,18,19,18,10,17,18,8,18
"371",18,39,23,10,18,22,19,18,18,18,14,12,18,11,18
"372",18,37,27,11,18,22,19,19,18,19,7,14,18,6,19
"373",18,38,25,11,19,18,18,18,18,18,11,9,18,11,18
"374",18,38,28,10,19,22,18,18,18,18,9,12,18,10,18
"375",19,35,24,12,18,23,17,19,19,19,11,20,19,16,17
"376",18,40,23,11,19,21,18,19,18,18,12,14,18,11,18
"377",19,36,24,10,18,18,19,18,18,19,9,16,18,15,19
"378",19,40,20,11,19,20,19,19,18,18,13,15,19,8,19
"379",19,37,26,11,18,18,18,18,19,18,10,18,19,15,18
"380",18,34,24,11,19,20,18,18,18,19,11,19,18,8,18
"381",19,38,23,11,18,21,18,18,18,18,8,19,19,10,18
"382",19,37,25,12,18,23,18,19,18,18,12,15,18,11,18
"383",18,37,23,10,18,21,18,19,18,19,12,20,18,13,18
"384",17,38,24,10,19,19,18,19,19,19,11,20,18,10,18
"385",18,39,23,10,18,22,18,18,19,19,9,14,18,12,19
"386",19,33,26,11,18,20,18,18,18,18,8,11,19,8,18
"387",19,37,23,10,18,21,18,18,18,19,12,14,19,7,18
"388",19,39,23,10,18,21,18,18,18,18,10,16,19,12,19
"389",19,35,22,11,18,21,18,18,19,18,13,15,18,11,18
"390",17,34,24,10,18,22,18,18,18,19,9,17,18,10,18
"391",18,38,25,11,18,20,18,18,18,18,10,18,19,7,18
"392",19,37,28,10,18,23,18,19,18,19,11,18,18,8,18
"393",18,36,29,10,18,21,18,18,18,19,11,19,18,13,19
"394",19,37,27,12,18,22,19,19,18,18,12,17,18,14,19
"395",18,37,25,12,18,21,19,19,19,18,10,17,18,11,19
"396",19,38,25,11,18,21,18,18,18,18,10,16,19,10,18
"397",19,38,17,11,18,21,18,18,19,18,9,13,18,9,18
"398",19,40,22,13,19,21,18,19,18,18,13,16,18,8,18
"399",18,37,28,11,19,20,18,18,18,17,9,16,19,6,19
"400",19,38,25,10,18,20,18,18,19,19,9,16,18,9,18
"401",18,36,21,10,19,22,19,19,19,18,10,17,19,9,18
"402",19,35,28,10,19,19,18,18,18,18,9,9,18,7,18
"403",18,35,21,11,18,22,18,18,18,19,12,13,18,17,18
"404",18,37,27,9,17,21,19,19,19,19,11,18,18,14,18
"405",18,37,28,10,19,22,18,19,19,18,11,14,19,7,18
"406",18,34,23,11,19,23,18,18,19,19,12,14,19,13,18
"407",18,39,22,11,18,21,18,18,19,18,11,16,19,7,18
"408",18,37,24,12,18,20,18,19,18,18,11,16,19,12,18
