"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"373",116,47,47,52,50,30,66,56,55,41,58,46,61,48,77
"374",107,39,62,49,59,27,59,51,50,58,57,33,53,39,80
"375",107,53,53,53,57,32,61,54,51,62,42,38,49,40,76
"376",116,41,59,49,56,32,55,56,66,58,52,29,52,54,78
"377",110,40,51,60,51,30,55,57,52,40,43,41,64,36,71
"378",113,35,54,50,44,47,47,51,55,60,70,37,53,37,74
"379",109,46,50,54,58,28,58,53,63,68,41,39,58,35,72
"380",112,46,52,64,63,43,60,64,54,56,48,33,47,37,75
"381",108,42,54,52,51,50,55,54,60,59,62,41,65,43,74
"382",112,33,55,70,61,36,55,56,76,51,55,38,49,49,78
"383",110,36,54,64,52,46,58,57,51,51,41,41,67,37,77
"384",115,38,50,50,51,43,54,60,48,57,25,34,58,44,75
"385",114,33,58,49,58,42,50,58,55,49,59,37,58,37,78
"386",115,33,48,48,60,39,56,58,50,63,39,31,61,41,77
"387",115,34,43,45,50,36,53,67,64,64,55,43,62,49,81
"388",113,33,52,54,56,40,58,59,50,48,47,48,50,39,76
"389",115,39,52,69,51,34,61,61,57,54,55,40,70,43,77
"390",106,44,59,55,68,40,54,56,56,53,40,40,53,38,79
"391",113,38,56,54,53,32,61,55,60,63,58,54,64,61,78
"392",114,42,63,52,48,40,56,58,65,53,47,35,50,40,75
"393",112,44,61,51,56,41,51,57,54,47,41,35,54,56,72
"394",110,42,52,58,47,37,62,67,67,50,50,40,50,41,78
"395",120,43,54,51,54,39,55,57,52,64,43,45,44,25,77
"396",114,45,57,62,52,30,61,68,52,60,35,32,57,39,79
"397",112,39,56,67,60,50,55,58,64,55,37,29,49,30,77
"398",109,38,62,54,56,38,55,49,60,53,42,40,53,38,74
"399",114,30,62,47,60,42,49,66,50,65,50,38,50,38,74
"400",107,37,56,46,61,48,55,61,54,57,53,39,56,44,76
"401",117,34,48,60,52,34,56,53,47,48,56,39,63,51,74
"402",110,41,50,52,59,35,64,51,56,53,68,37,49,47,78
"403",110,41,55,57,61,34,55,46,53,59,50,35,58,23,71
"404",109,34,47,55,61,36,64,55,59,59,58,37,60,40,77
"405",118,44,60,48,49,33,50,60,53,49,45,38,58,55,77
"406",116,33,42,60,53,43,58,54,58,56,56,41,64,40,80
"407",111,35,57,57,59,49,55,59,68,55,46,30,56,37,71
"408",114,52,54,67,63,38,57,58,53,46,51,37,64,29,74
