"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"317",70,65,87,54,54,71,57,6,60,49,65,57,29,78,60
"318",62,51,77,43,63,63,56,16,45,48,63,62,25,75,53
"319",94,55,78,53,52,77,62,17,61,35,75,70,18,77,43
"320",80,53,88,49,49,77,52,7,57,50,68,73,34,76,55
"321",58,59,79,59,51,96,62,15,50,65,60,53,32,64,50
"322",75,56,87,47,57,84,51,14,65,35,77,52,42,75,44
"323",90,56,79,50,64,80,43,8,63,45,71,67,39,83,56
"324",64,50,75,43,56,89,59,4,59,37,76,53,37,68,57
"325",84,52,72,48,48,87,58,18,53,52,61,55,21,68,45
"326",72,67,76,43,53,75,49,4,73,42,65,73,46,76,52
"327",65,44,76,48,59,77,52,4,65,37,69,62,32,61,41
"328",71,52,76,42,53,83,57,23,56,41,71,53,31,71,60
"329",75,58,85,34,59,67,50,19,61,43,48,57,52,71,47
"330",68,46,69,49,58,65,57,14,53,40,61,70,41,77,54
"331",71,49,71,48,58,82,58,15,59,51,61,61,18,78,48
"332",73,52,81,62,54,84,46,14,48,49,69,57,52,66,53
"333",60,63,68,54,52,51,46,15,52,45,70,70,50,70,67
"334",67,54,75,34,55,72,52,11,58,67,43,59,34,80,52
"335",67,55,71,42,55,77,57,15,71,63,78,56,30,72,47
"336",66,55,65,39,60,75,55,8,71,40,75,65,19,67,53
"337",59,45,73,51,50,90,54,8,56,54,55,67,40,72,55
"338",50,64,64,45,67,60,41,5,54,50,62,65,54,69,54
"339",71,51,79,44,53,66,57,15,57,31,62,68,43,88,60
"340",82,48,76,48,59,71,60,16,52,64,59,67,34,63,57
"341",78,51,66,46,61,75,52,11,64,26,56,58,43,74,50
"342",50,60,72,53,64,75,55,6,74,61,63,66,26,59,46
"343",60,57,64,47,64,86,47,10,62,35,59,58,37,75,48
"344",71,60,73,54,57,94,67,3,67,64,52,64,24,77,49
"345",87,55,75,60,58,74,56,13,62,53,59,51,47,69,47
"346",45,63,75,39,62,67,63,13,61,42,56,45,26,63,48
"347",80,51,78,49,61,85,53,10,54,41,70,53,37,76,49
"348",54,47,81,49,55,91,64,7,65,42,76,67,31,86,48
"349",68,50,73,53,53,64,49,6,59,47,62,66,27,67,52
"350",76,61,75,50,52,67,59,13,69,41,61,56,22,76,51
"351",69,49,69,44,63,73,57,5,74,83,69,61,23,67,56
"352",67,61,73,54,50,77,53,3,56,53,58,44,29,62,46
"353",54,61,71,42,55,76,49,27,63,51,63,50,31,85,56
"354",82,55,86,54,60,80,58,15,55,43,63,54,46,74,63
"355",67,60,74,57,55,76,47,7,57,46,58,53,30,70,55
"356",74,66,78,45,60,89,54,7,81,65,52,49,46,69,51
"357",45,52,78,53,62,68,51,22,73,75,48,50,19,87,46
"358",91,60,63,36,58,86,57,5,57,40,53,57,30,73,44
"359",81,51,75,45,52,71,57,5,60,39,76,63,42,73,54
"360",91,59,74,35,48,70,57,11,61,54,78,52,31,63,64
"361",71,56,76,43,52,86,53,16,56,38,57,52,19,70,55
"362",58,59,70,38,67,72,53,20,69,39,71,60,35,70,54
"363",55,54,83,47,58,75,55,17,70,56,65,55,33,79,45
"364",59,60,89,40,60,94,59,2,52,41,60,63,29,71,56
"365",55,58,81,35,54,80,63,11,60,48,52,76,38,58,57
"366",81,59,88,42,65,83,58,17,59,55,78,68,32,69,55
"367",76,49,75,75,51,76,53,6,63,37,77,61,36,82,64
"368",78,63,81,55,57,78,55,4,70,53,61,67,56,86,55
"369",82,55,68,35,53,65,65,22,50,45,62,67,36,68,52
"370",49,58,75,41,54,68,49,3,48,43,69,61,24,64,47
"371",73,58,84,52,56,71,55,17,73,45,54,66,39,72,53
"372",86,50,83,44,58,63,49,20,66,46,69,61,40,71,44
"373",70,51,72,41,59,75,55,7,62,54,63,56,32,68,55
"374",55,65,82,48,57,84,48,11,60,33,43,58,34,65,52
"375",58,50,73,62,60,87,48,11,59,48,73,59,43,65,52
"376",63,55,80,47,60,95,59,6,57,73,60,50,26,72,45
"377",66,54,76,59,60,86,56,7,51,36,66,51,38,76,49
"378",71,65,78,53,51,79,63,5,55,51,74,65,32,73,44
"379",70,61,71,42,55,63,62,8,46,51,74,62,39,72,51
"380",65,56,77,34,54,91,56,11,63,40,66,57,14,71,52
"381",64,55,70,41,61,74,57,17,59,55,71,51,25,78,53
"382",73,45,66,44,58,96,55,26,55,67,57,55,29,84,55
"383",68,60,77,45,58,85,46,6,62,56,58,59,36,75,51
"384",70,56,87,35,60,107,56,11,66,41,69,66,23,74,56
"385",84,61,79,53,54,74,50,25,61,37,62,49,43,66,46
"386",66,47,81,41,60,85,51,17,73,31,62,65,33,70,57
"387",61,49,73,47,64,87,53,11,58,45,67,65,23,75,46
"388",57,61,74,46,51,74,55,4,67,38,59,72,34,63,54
"389",65,53,87,46,66,76,50,9,57,46,78,55,34,77,64
"390",64,61,66,37,56,70,52,3,58,37,65,47,24,85,54
"391",61,57,69,44,50,74,51,3,57,38,65,67,36,73,54
"392",64,44,93,49,63,80,62,16,72,76,67,61,20,76,44
"393",54,48,69,53,51,105,66,4,49,53,70,63,48,80,48
"394",77,46,76,41,67,69,51,4,58,50,73,56,34,69,67
"395",57,48,74,52,50,74,52,6,56,53,66,66,36,73,42
"396",76,57,78,50,54,93,56,14,46,50,64,46,25,61,63
"397",86,68,72,65,57,85,61,9,46,56,56,57,25,67,53
"398",67,58,69,53,54,87,63,12,69,60,74,58,38,73,49
"399",83,58,74,41,57,77,51,4,53,60,76,66,21,57,48
"400",80,65,81,55,63,64,56,11,55,42,66,54,33,80,46
"401",51,59,75,48,59,73,55,3,64,56,76,73,38,93,53
"402",52,58,72,59,64,104,61,18,68,58,79,64,20,68,46
"403",67,53,83,42,48,98,56,2,82,70,58,52,35,73,61
"404",70,59,83,37,47,78,63,8,61,52,70,64,33,72,51
"405",78,51,69,42,59,86,58,22,43,46,58,64,32,71,56
"406",64,56,75,43,60,88,66,5,59,39,52,63,35,65,53
"407",66,49,73,38,57,68,56,18,58,34,64,63,50,73,44
"408",75,52,77,48,57,75,51,12,66,41,63,49,30,76,51
