"","v csk","v dc","v kxip","v kkr","v mi","v rr","v srh"
"715",30,19,58,32,42,45,26
"716",28,18,52,20,44,44,30
"717",31,21,53,28,43,44,30
"718",32,21,54,31,42,39,32
"719",25,12,58,31,52,41,35
"720",28,15,52,30,40,39,27
"721",24,18,56,32,51,36,26
"722",31,12,48,29,42,48,35
"723",27,21,58,32,37,48,31
"724",30,16,54,28,42,36,40
"725",26,22,49,37,43,44,43
"726",18,25,56,31,41,34,33
"727",28,28,52,33,50,40,29
"728",31,13,51,30,35,44,39
"729",26,8,55,29,46,42,41
"730",36,17,54,29,62,42,35
"731",25,20,57,28,52,49,28
"732",28,12,56,30,44,47,32
"733",21,12,56,29,37,41,40
"734",29,13,52,27,54,41,26
"735",28,20,48,26,45,43,35
"736",26,15,46,24,43,45,25
"737",25,21,59,28,57,49,31
"738",24,20,50,30,44,41,26
"739",30,23,60,29,46,40,36
"740",23,17,51,24,53,46,38
"741",24,11,54,27,50,46,39
"742",23,19,51,27,41,51,31
"743",32,35,56,28,47,47,29
"744",37,21,56,25,46,46,40
"745",29,22,50,30,47,39,28
"746",20,21,56,28,41,40,43
"747",20,36,56,33,54,37,37
"748",40,26,56,32,31,40,28
"749",31,23,53,27,39,44,46
"750",23,14,56,29,42,48,30
"751",23,16,52,22,46,42,32
"752",23,26,52,30,42,43,30
"753",39,8,52,31,42,39,32
"754",23,14,51,35,57,43,34
"755",23,29,55,30,47,41,39
"756",28,15,54,28,43,45,28
"757",25,18,43,35,37,45,35
"758",31,24,50,28,38,38,29
"759",23,13,49,24,41,48,27
"760",25,6,54,29,53,45,43
"761",24,21,55,26,43,42,34
"762",22,26,59,27,41,44,25
"763",30,15,51,25,53,41,32
"764",32,30,59,32,51,40,26
"765",26,24,56,22,49,44,38
"766",28,12,58,25,58,38,29
"767",24,16,50,29,55,43,35
"768",32,15,52,26,39,47,42
"769",35,8,54,29,33,48,30
"770",27,24,52,31,42,44,32
"771",25,9,48,24,65,37,39
"772",22,7,50,33,35,42,39
"773",22,24,53,29,59,46,31
"774",14,22,47,28,54,44,42
"775",28,32,57,26,45,42,35
"776",24,12,53,30,51,43,40
"777",31,15,59,30,32,40,26
"778",21,22,53,26,45,43,28
"779",30,30,53,29,51,40,29
"780",27,14,55,25,51,47,30
"781",36,11,52,32,34,38,26
"782",32,13,48,28,46,46,35
"783",28,15,50,30,34,43,38
"784",26,19,55,34,39,48,31
"785",39,25,53,30,52,45,39
"786",31,17,55,27,39,40,31
"787",29,32,51,32,45,40,37
"788",31,23,56,32,52,42,28
"789",55,35,58,29,47,41,30
"790",29,25,54,34,43,37,33
"791",28,8,47,27,63,49,32
"792",19,30,57,28,43,45,27
"793",28,13,55,25,35,44,32
"794",23,16,59,32,41,37,28
"795",21,31,51,29,41,40,35
"796",28,12,49,32,38,38,37
"797",31,14,50,27,45,41,31
"798",22,18,58,30,34,46,34
"799",24,7,48,32,35,48,33
"800",17,16,58,29,37,43,38
"801",19,24,54,28,55,39,30
"802",42,26,56,35,50,49,28
"803",26,12,57,31,36,39,26
"804",19,17,52,27,38,36,29
"805",28,25,54,28,35,54,28
"806",21,19,55,31,42,41,35
"807",41,15,49,28,35,40,43
"808",27,11,57,25,54,40,26
"809",32,24,49,25,40,39,27
"810",29,13,55,30,34,40,37
"811",39,9,49,27,51,46,33
"812",26,19,50,31,30,38,41
"813",40,12,52,27,43,42,38
